Cell,Elevation,Times Changed Hands
1407,537,272
1408,559,23
1409,664,6
1410,772,6
1411,660,368
1412,812,5
1413,393,501
1414,918,223
1415,284,21
1416,305,0
1417,1,0
1418,281,216
1419,877,1
1420,681,4
1421,1242,6
1422,1087,3
1423,216,332
1424,269,266
1425,547,2
1426,242,3
1427,232,104
1428,327,2
1429,407,2
1430,363,219
1431,391,418
1432,503,73
1433,543,89
1434,563,9
1435,736,8
1436,757,6
1437,461,379
1438,675,3
1439,642,153
1440,1062,2
1441,285,2
1442,611,0
1443,302,0
1444,133,334
1445,292,427
1446,20,13
1447,445,12
1448,1240,2
1449,805,5
1450,507,2
1451,204,425
1452,282,349
1453,190,307
1454,233,11
1455,188,180
1456,309,2
1457,404,2
1458,428,2
1459,386,170
1460,428,477
1461,500,178
1462,548,14
1463,623,5
1464,630,5
1465,609,71
1466,299,237
1467,460,310
1468,1150,2
1469,633,3
1470,1,16
1471,271,0
1472,375,0
1473,457,3
1474,514,1
1475,318,7
1476,484,9
1477,432,8
1478,572,6
1479,149,403
1480,251,220
1481,254,246
1482,304,3
1483,291,2
1484,350,2
1485,445,2
1486,477,2
1487,440,2
1488,435,402
1489,492,106
1490,544,4
1491,479,15
1492,492,23
1493,379,105
1494,147,472
1495,805,1
1496,895,6
1497,429,5
1498,1,25
1499,27,0
1500,316,0
1501,195,2
1502,333,252
1503,1,294
1504,924,2
1505,362,7
1506,341,7
1507,113,389
1508,295,6
1509,628,3
1510,268,4
1511,305,2
1512,441,2
1513,471,3
1514,453,6
1515,473,2
1516,446,69
1517,452,28
1518,410,8
1519,342,9
1520,344,95
1521,168,153
1522,317,37
1523,1144,5
1524,899,2
1525,76,14
1526,97,0
1527,497,2
1528,254,238
1529,125,317
1530,431,3
1531,261,9
1532,242,7
1533,121,125
1534,437,3
1535,679,2
1536,426,2
1537,190,2
1538,438,3
1539,568,3
1540,519,2
1541,455,4
1542,358,351
1543,394,45
1544,361,9
1545,321,11
1546,299,19
1547,214,63
1548,20,263
1549,1306,1
1550,870,9
1551,516,12
1552,12,124
1553,133,5
1554,654,6
1555,397,310
1556,200,4
1557,217,9
1558,114,393
1559,158,5
1560,576,6
1561,472,4
1562,286,3
1563,547,3
1564,635,4
1565,569,2
1566,435,7
1567,347,409
1568,311,20
1569,287,11
1570,265,6
1571,141,35
1572,6,365
1573,4,67
1574,1213,2
1575,895,6
1576,428,67
1577,141,1
1578,1069,3
1579,1,221
1580,616,2
1581,152,286
1582,151,14
1583,146,308
1584,108,164
1585,458,6
1586,929,6
1587,275,8
1588,425,6
1589,595,4
1590,482,3
1591,351,40
1592,275,374
1593,259,8
1594,237,9
1595,123,20
1596,62,423
1597,-24,465
1598,214,5
1599,1085,15
1600,833,12
1601,332,302
1602,1026,1
1603,79,3
1604,291,185
1605,134,125
1606,122,222
1607,241,2
