trial,starting x,starting y,average empire area
87,3.238802072,47.76378267,111.2708333
88,47.19609231,30.15306809,120.3777778
89,16.00637704,62.02777154,119.0666667
90,15.95062634,29.30408804,94.07017544
91,11.98014597,52.45864452,138.8205128
92,3.517897444,28.88097132,118.8444444
93,45.37377844,28.11475157,122.9318182
94,30.69594008,52.85290985,95.24561404
95,-5.756009756,37.34205334,97.67272727
96,38.54067695,44.92089408,111.8958333
97,-2.503466841,41.02870741,121.4090909
98,8.810331493,56.90013402,101.9433962
99,23.27212095,27.11946976,115.9347826
100,-1.199239757,43.63463889,78.88235294
101,-2.985054527,31.55808481,128.0238095
102,24.93290586,43.61607719,111.1666667
103,8.937382497,55.01575071,105.3529412
104,-0.510533854,28.80290582,121.3181818
105,39.62691366,33.05058696,153.3142857
106,29.74011677,36.53954923,106.36
107,18.41616455,28.17203756,101.7169811
108,1.847661919,34.99143832,112.0416667
109,23.35053209,41.76464872,91.3559322
110,14.450427,30.84322514,95.78571429
111,46.08927026,54.65511452,140.0789474
112,35.60767678,51.21490632,98.16363636
113,30.29694464,47.03064304,126.0697674
114,11.25,42.3759811,85.93548387
115,23.86362888,38.00216426,96.58181818
116,45.05610303,27.21604828,141.3684211
117,11.25,49.80923077,94.73214286
118,40.30983255,30.26340121,103.3269231
119,38.27334498,60.93276624,114.4468085
120,-8.11227149,33.36638282,99.53703704
121,20.82458208,52.70647273,99.57407407
122,47.09548913,60.49705885,119.8666667
123,-8.351714591,32.15158325,90.16949153
124,34.9585801,50.95631154,111.8958333
125,-4.17329302,54.89536699,99
126,26.67329302,54.89536699,100.8333333
127,34.60844732,55.6501083,148.9444444
128,-9.800592785,27.46746567,109.3469388
129,12.30103804,28.79407064,104.4509804
130,20.19065893,40.58594645,111.4791667
131,45.51962855,54.9903585,97.34545455
132,14.30833927,42.08009801,102.5769231
133,41.13763573,34.27472312,109.0408163
134,5.646029509,35.60361553,125.5581395
135,9.719453197,54.6854406,101.2264151
136,27.42464944,46.18421196,153.2857143
137,46.0246691,34.0921115,107.38
138,-6.049218765,28.74333495,93.05172414
139,41.15806286,48.81323884,114.5531915
140,-6.830595995,54.46915066,104.1960784
141,35.93377902,27.77269407,106.64
142,30.32313826,38.90163418,115.2765957
143,13.80723555,45.01968273,108.6938776
144,19.3953148,48.70091949,112.0416667
