trial,power_decline,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
121,4.2,20,10,4,0,1,2,4,0,1,1,0,0,1
122,4.4,17,5,3,3,1,4,2,1,2,0,0,0,1
123,4.7,23,11,2,4,3,0,1,0,0,0,0,0,3
124,4.3,14,5,6,3,1,3,4,1,0,0,0,0,1
125,4.5,30,4,5,1,4,0,2,2,1,1,1,0,0
126,4.6,19,7,5,0,3,1,1,3,0,1,0,0,1
127,4.8,15,6,4,1,2,1,2,0,0,0,0,0,3
128,5.0,7,1,2,1,1,5,1,0,0,0,1,1,2
129,5.2,20,3,1,3,2,2,1,1,1,0,0,0,1
130,4.9,24,8,4,5,0,4,1,0,1,0,0,0,1
131,5.3,19,3,4,2,1,2,1,1,0,1,0,0,2
132,5.5,21,6,1,1,0,0,2,0,0,1,0,0,4
133,5.4,13,5,1,3,1,2,2,0,1,1,0,0,1
134,5.1,18,12,2,2,0,1,1,2,0,1,0,0,1
135,5.6,18,9,5,1,0,2,2,0,1,0,2,0,1
136,5.7,19,6,2,0,0,2,2,0,1,1,0,0,2
137,5.8,25,6,3,2,1,2,1,2,0,0,2,0,1
138,6.0,11,5,4,3,1,2,1,2,1,0,0,0,1
139,5.9,14,6,0,0,3,2,1,1,0,0,1,0,2
140,6.2,18,5,3,3,1,2,1,2,0,0,0,0,1
141,6.3,25,7,3,1,1,1,0,1,1,0,0,0,2
142,6.1,16,3,2,3,2,1,1,2,2,0,0,0,2
143,6.4,21,6,1,1,2,4,0,0,0,0,0,2,2
144,6.5,11,5,2,1,2,2,1,0,0,1,0,1,1
145,6.6,17,2,1,1,0,1,2,1,0,0,0,0,4
146,6.9,11,4,2,1,2,0,1,1,1,1,0,0,2
147,6.8,9,4,2,0,0,0,0,2,0,0,1,0,4
148,6.7,20,12,2,1,1,3,0,0,2,0,0,0,2
149,7.1,21,4,4,0,1,0,0,0,2,0,0,0,1
150,7.0,10,5,6,2,0,2,1,0,1,0,1,0,2
151,7.2,10,3,1,1,2,3,0,1,0,1,0,0,2
152,7.3,12,6,7,2,1,1,0,1,1,0,0,1,2
153,7.4,10,6,4,1,0,1,2,0,0,0,1,0,2
154,7.5,14,5,2,3,1,1,1,0,0,1,1,0,1
155,7.7,10,6,2,1,2,2,1,2,2,1,0,0,1
156,7.9,5,7,2,3,5,1,0,2,1,0,0,1,1
157,7.8,5,5,2,3,0,0,2,2,0,0,1,1,2
158,8.0,12,8,1,2,2,1,0,1,0,0,0,1,1
159,7.6,10,5,3,3,1,2,1,0,1,0,0,0,2
160,0.1,456,0,0,0,0,0,0,0,0,0,0,0,0
161,0.2,373,0,0,0,0,0,0,0,0,0,0,0,0
162,0.8,139,21,1,1,1,1,0,0,0,0,0,0,0
163,0.7,160,20,1,2,0,0,0,0,0,0,0,0,0
164,0.5,185,15,1,0,0,0,0,0,0,0,0,0,0
165,0.6,166,16,1,2,0,0,0,0,0,0,0,0,0
166,0.3,277,0,0,0,0,0,0,0,0,0,0,0,0
167,0.4,210,13,0,0,0,0,0,0,0,0,0,0,0
168,0.9,135,23,1,1,2,0,0,0,0,0,0,0,0
169,1.1,126,24,3,1,1,1,0,0,0,0,0,0,0
170,1.0,126,24,3,1,1,1,0,0,0,0,0,0,0
171,1.5,114,21,5,2,0,1,1,0,0,0,0,0,0
172,1.6,90,14,9,4,1,1,1,0,0,0,0,0,0
173,1.3,100,22,5,3,0,2,0,0,0,0,0,0,0
174,1.2,114,19,7,2,0,2,0,0,0,0,0,0,0
175,1.4,90,19,4,2,1,2,1,0,0,0,0,0,0
176,1.7,96,18,8,3,0,1,0,0,0,0,0,1,0
177,1.8,83,12,13,4,0,2,0,0,0,0,0,0,0
178,2.0,66,16,7,2,5,1,1,0,0,0,0,0,0
179,2.3,40,9,4,4,3,1,3,1,0,1,0,0,0
180,1.9,84,21,5,3,1,1,1,0,0,1,0,0,0
181,2.4,50,13,4,5,1,4,2,0,0,0,0,0,0
182,2.1,70,14,5,3,1,2,1,0,0,0,0,0,1
183,2.2,52,15,7,3,3,0,2,0,0,0,1,0,0
184,2.5,53,13,6,4,2,2,1,0,0,0,0,0,1
185,3.1,31,8,4,6,2,1,2,0,0,0,0,1,1
186,2.6,29,12,4,5,4,2,0,1,0,0,0,0,1
187,2.8,46,13,7,4,3,1,3,0,0,0,0,0,0
188,2.7,54,6,6,4,3,2,1,1,0,0,1,0,0
189,3.2,31,6,8,1,3,4,2,2,0,0,0,0,0
190,2.9,42,10,7,3,2,4,0,0,0,0,0,0,1
191,3.0,35,14,4,5,3,1,1,0,1,0,0,0,1
192,3.3,36,11,5,2,3,2,1,0,0,0,1,0,1
193,3.4,29,14,6,1,4,2,0,2,0,0,0,0,1
194,3.7,44,6,0,4,0,1,2,1,1,1,1,1,0
