trial,use_elevation,power_decline,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
94,False,1.5,297.05555555555554,18,3,0,2,2,1,1,1,2,1,2,2,0,1
95,False,1.6,310.70588235294116,17,1,3,2,0,1,0,2,2,1,1,1,1,2
96,False,1.8,375.92857142857144,14,3,3,0,0,0,1,0,0,2,0,0,0,5
97,False,1.7,349.6,15,3,3,1,0,0,1,0,0,2,0,0,1,4
98,False,2.0,401.53846153846155,13,3,1,0,0,1,1,1,0,0,0,2,0,4
99,False,1.9,400.9230769230769,13,1,2,1,1,0,0,1,0,1,1,0,1,4
100,False,2.1,431.1666666666667,12,1,0,1,0,1,1,1,2,0,0,2,1,2
101,False,2.2,471.27272727272725,11,1,1,2,0,0,0,0,0,0,1,0,1,5
102,False,2.4,576.8888888888889,9,0,2,0,0,0,0,1,0,0,0,1,1,4
103,False,2.3,506.4,10,1,0,1,1,1,1,0,1,0,0,0,0,4
104,False,2.5,520.4,10,2,0,0,0,1,0,0,1,0,1,1,0,4
105,False,2.6,645.25,8,1,1,0,0,1,0,0,0,0,1,0,0,4
106,False,2.7,854.1666666666666,6,0,0,0,0,0,0,0,0,0,1,0,0,5
107,False,2.9,734.7142857142857,7,1,1,0,0,0,0,0,0,0,0,0,0,5
108,False,2.8,731.5714285714286,7,0,0,1,1,0,0,1,0,0,0,0,0,4
109,False,3.1,642.5,8,1,0,0,1,0,1,0,0,1,0,0,0,4
110,False,3.0,862.1666666666666,6,0,0,1,0,0,0,0,0,0,0,1,0,4
111,False,3.2,639.75,8,0,0,1,1,0,0,0,0,0,1,0,0,5
112,False,3.3,1028.4,5,0,0,0,0,0,0,0,1,0,0,0,0,4
113,False,3.5,853.6666666666666,6,0,0,0,0,1,0,0,0,0,0,1,0,4
114,False,3.4,1022.0,5,0,0,1,0,1,0,0,0,0,0,0,0,3
115,False,3.7,1023.0,5,1,0,0,0,0,0,0,0,0,1,0,0,3
116,False,3.6,852.3333333333334,6,1,0,0,0,0,0,0,0,0,0,1,0,4
117,False,3.9,1280.75,4,0,0,0,0,0,0,1,0,0,0,0,0,3
118,False,3.8,1028.0,5,0,0,0,0,0,0,0,2,0,0,0,0,3
119,False,4.0,1022.4,5,0,0,0,0,0,0,0,1,0,0,0,1,3
120,False,4.1,1695.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
121,False,4.2,2539.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
122,False,4.3,1276.75,4,0,0,0,0,0,0,0,0,0,0,0,0,4
123,False,4.4,1696.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
124,False,4.5,1021.8,5,0,0,0,0,0,0,0,0,0,0,0,1,4
125,False,4.6,1273.0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
126,False,4.7,2537.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2
127,False,4.8,1274.0,4,0,0,0,0,1,0,0,0,0,0,0,0,3
128,False,5.1,15.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
129,False,4.9,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,False,5.0,1275.0,4,0,0,0,0,1,0,0,0,0,0,0,0,3
131,False,5.3,1692.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
132,False,5.2,2543.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2
133,False,5.4,1696.6666666666667,3,0,0,0,1,0,0,0,0,0,0,0,0,2
134,False,5.5,2544.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
135,False,5.6,2536.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2
136,False,5.7,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
137,False,5.8,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
138,False,5.9,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
139,False,6.2,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140,False,6.0,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
141,False,6.1,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
142,False,6.3,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
143,False,6.4,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
144,False,6.5,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
145,False,6.6,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
146,False,6.7,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
147,False,6.8,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
148,False,7.0,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
149,False,6.9,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150,False,7.1,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
151,False,7.2,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
152,False,7.3,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
153,False,7.4,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
154,False,7.5,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
155,False,7.7,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
156,False,7.6,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
157,False,7.8,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
158,False,8.0,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
159,False,7.9,5071.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
