trial,power_decline,average empire area
83,0.4,24.01826484018265
84,0.2,13.330749354005167
85,0.8,30.432748538011698
86,0.7,30.523529411764706
87,0.6,29.220338983050848
88,1.1,32.98136645962733
89,0.9,32.14110429447853
90,1.3,39.18518518518518
91,1.2,35.46621621621622
92,1.0,30.86470588235294
93,1.5,42.56
94,1.4,40.0
95,1.6,42.26984126984127
96,1.7,39.74626865671642
97,1.8,48.481818181818184
98,1.9,53.01980198019802
99,2.2,66.77777777777777
100,2.3,56.41489361702128
101,2.0,56.787234042553195
102,2.4,54.15151515151515
103,2.1,46.40869565217391
104,2.5,62.151162790697676
105,2.6,74.36111111111111
106,2.7,73.05479452054794
107,2.8,71.12
108,3.0,69.11538461538461
109,3.1,93.94736842105263
110,3.2,95.0
111,2.9,76.80281690140845
112,3.4,102.86538461538461
113,3.6,97.87272727272727
114,3.8,111.08333333333333
115,3.3,83.65625
116,3.5,85.55555555555556
117,3.7,95.125
118,3.9,115.04255319148936
119,4.0,109.75510204081633
120,4.1,98.54545454545455
121,4.2,121.18181818181819
122,4.4,138.05128205128204
123,4.7,113.63829787234043
124,4.3,140.57894736842104
125,4.5,104.54901960784314
126,4.6,132.46341463414635
127,4.8,159.2058823529412
128,5.0,244.86363636363637
129,5.2,154.65714285714284
130,4.9,111.10416666666667
131,5.3,150.55555555555554
132,5.5,149.22222222222223
133,5.4,178.3
134,5.1,134.975
135,5.6,130.0487804878049
136,5.7,152.77142857142857
137,5.8,119.08888888888889
138,6.0,173.32258064516128
139,5.9,178.76666666666668
140,6.2,148.36111111111111
141,6.3,127.88095238095238
142,6.1,156.7058823529412
143,6.4,136.6153846153846
144,6.5,202.2962962962963
145,6.6,185.27586206896552
146,6.9,206.69230769230768
147,6.8,244.6818181818182
148,6.7,124.06976744186046
149,7.1,162.63636363636363
150,7.0,178.4
151,7.2,222.95833333333334
152,7.3,158.91176470588235
153,7.4,200.2962962962963
154,7.5,180.6
155,7.7,179.46666666666667
156,7.9,189.03571428571428
157,7.8,232.65217391304347
158,8.0,186.0
159,7.6,191.67857142857142
160,0.1,8.280701754385966
161,0.2,13.697050938337801
162,0.8,31.658536585365855
163,0.7,28.46448087431694
164,0.5,26.233830845771145
165,0.6,28.16216216216216
166,0.3,19.249097472924188
167,0.4,23.52017937219731
168,0.9,32.2962962962963
169,1.1,33.71153846153846
170,1.0,33.5
171,1.5,36.6875
172,1.6,44.69166666666667
173,1.3,39.90909090909091
174,1.2,36.354166666666664
175,1.4,44.53781512605042
176,1.7,42.275590551181104
177,1.8,46.44736842105263
178,2.0,54.326530612244895
179,2.3,81.98484848484848
180,1.9,45.31623931623932
181,2.4,67.73417721518987
182,2.1,54.75257731958763
183,2.2,64.40963855421687
184,2.5,66.1829268292683
185,3.1,96.55357142857143
186,2.6,93.51724137931035
187,2.8,68.77922077922078
188,2.7,69.23076923076923
189,3.2,93.87719298245614
190,2.9,77.47826086956522
191,3.0,83.38461538461539
192,3.3,85.8225806451613
193,3.4,91.91525423728814
194,3.7,86.80645161290323
195,3.5,97.85454545454546
196,3.6,108.64
197,3.9,113.31914893617021
198,3.8,110.20408163265306
199,4.0,92.94827586206897
200,4.1,123.79069767441861
201,4.2,96.78181818181818
202,4.7,157.02941176470588
203,4.6,148.05555555555554
204,4.4,99.42592592592592
205,4.3,101.20754716981132
206,4.5,112.33333333333333
207,4.8,153.4
208,4.9,154.94285714285715
209,5.0,155.28571428571428
210,5.3,222.58333333333334
211,5.4,167.875
212,5.2,128.45238095238096
213,5.5,154.22857142857143
214,5.1,97.83636363636364
215,5.6,123.04545454545455
216,5.8,152.88571428571427
217,5.7,113.70212765957447
218,5.9,163.36363636363637
219,6.0,130.5121951219512
220,6.1,113.87234042553192
221,6.3,161.78787878787878
222,6.2,135.87179487179486
223,6.4,153.54285714285714
224,6.5,159.55882352941177
225,6.6,232.82608695652175
226,6.7,205.65384615384616
227,7.0,224.83333333333334
228,6.8,168.21875
229,7.1,245.1818181818182
230,6.9,152.74285714285713
231,7.2,125.4186046511628
232,7.3,166.4375
233,7.5,146.97222222222223
234,7.4,172.3548387096774
235,7.7,183.24137931034483
236,7.6,184.89655172413794
237,7.8,169.0625
238,8.0,166.25
239,7.9,184.3793103448276
